Latitude,Longitude,Altitude (m)
-13.016260000,131.121900000,57.0
-13.017440000,131.121720000,57.7
-13.018380000,131.121700000,55.1
-13.019270000,131.121780000,58.0
-13.021180000,131.122210000,57.3
-13.022030000,131.122320000,55.7
-13.023100000,131.122340000,56.7
-13.024140000,131.122220000,57.7
-13.035530000,131.119720000,70.7
-13.036600000,131.119420000,69.6
-13.037660000,131.119010000,68.4
-13.039220000,131.118220000,64.5
-13.059680000,131.107070000,63.0
-13.060240000,131.106780000,63.2
-13.061170000,131.106400000,61.6
-13.061660000,131.106240000,62.5
-13.062610000,131.106060000,65.8
-13.074350000,131.104690000,63.8
-13.075400000,131.104620000,65.0
-13.076450000,131.104700000,64.3
-13.077090000,131.104830000,65.4
-13.078060000,131.105110000,68.0
-13.084830000,131.108280000,73.0
-13.086510000,131.108940000,70.3
-13.087970000,131.109320000,70.9
-13.089070000,131.109510000,70.5
-13.089700000,131.109570000,69.8
-13.091300000,131.109610000,70.8
-13.092360000,131.109540000,69.6
-13.102120000,131.108310000,75.9
-13.103910000,131.108220000,79.7
-13.108130000,131.108500000,79.2
-13.109840000,131.108510000,80.4
-13.111290000,131.108350000,81.0
-13.114440000,131.107730000,81.4
-13.126530000,131.106740000,70.3
-13.127560000,131.106690000,69.9
-13.128800000,131.106740000,69.7
-13.129850000,131.106860000,70.5
-13.132070000,131.107210000,71.8
-13.133070000,131.107320000,70.3
-13.134130000,131.107350000,67.0
-13.156050000,131.106160000,60.6
-13.157320000,131.106050000,60.5
-13.159130000,131.105760000,60.0
-13.161390000,131.105180000,60.8
-13.166820000,131.103120000,60.3
-13.168650000,131.102580000,61.7
-13.180530000,131.100680000,58.1
-13.181580000,131.100570000,57.7
-13.182650000,131.100570000,57.6
-13.183600000,131.100650000,59.4
-13.192410000,131.102210000,58.3
-13.196120000,131.102780000,59.4
-13.197720000,131.102920000,57.5
-13.200000000,131.102960000,56.8
-13.200990000,131.102920000,58.2
-13.203040000,131.102730000,60.8
-13.219860000,131.099580000,55.2
-13.220870000,131.099440000,60.7
-13.221970000,131.099400000,61.6
-13.223630000,131.099550000,55.8
-13.234610000,131.101420000,59.3
-13.235690000,131.101730000,58.2
-13.236460000,131.102170000,58.0
-13.236680000,131.102350000,58.0
-13.237110000,131.102800000,58.0
-13.237500000,131.103320000,57.0
-13.239850000,131.106670000,58.2
-13.240710000,131.108140000,51.8
-13.241730000,131.110300000,56.8
-13.242170000,131.111600000,54.6
